2026-03-29 20:34:11.104 | AlertService | resetAlertSyncState
2026-03-29 20:34:11.126 | AlertService | syncPendingAlertSettings skipped disconnected
2026-03-29 20:34:11.181 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:11.522 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 20:34:11.530 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 20:34:11.835 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:12.030 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 20:34:12.033 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 20:34:12.325 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 20:34:12.328 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 20:34:12.843 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:13.863 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:14.856 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:15.855 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:16.845 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:17.917 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:18.867 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:19.919 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:20.840 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:21.834 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:22.820 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:23.847 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:24.866 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:25.866 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:26.820 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:27.838 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:28.840 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:29.862 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:30.834 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:31.834 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:32.874 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:33.955 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:34.855 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:35.843 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:36.855 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:37.869 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:38.857 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:39.897 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:40.850 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:41.822 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:42.840 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:43.836 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:44.843 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:45.846 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:46.817 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:47.843 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:48.862 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:49.864 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:50.848 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:51.182 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 20:34:51.185 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 20:34:51.898 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:53.055 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:53.958 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:54.826 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:55.923 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:56.987 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:57.776 | AlertService | updateCallback type=DeviceTimeSynced
2026-03-29 20:34:57.893 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:34:58.773 | AlertService | updateCallback type=UserInfoUpdated
2026-03-29 20:34:59.747 | AlertService | updateCallback type=DeviceUnitsUpdated
2026-03-29 20:34:59.932 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:01.087 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:01.921 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:02.744 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:02.774 | AlertService | updateCallback type=DeviceTimeSynced
2026-03-29 20:35:04.020 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:04.040 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:04.965 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:05.677 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 20:35:05.928 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:06.417 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 20:35:06.967 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:07.833 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:08.089 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 20:35:08.095 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 20:35:09.005 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:10.124 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:11.194 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:11.859 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:12.800 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:13.805 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:14.971 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:15.860 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:16.808 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:18.078 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:18.923 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:19.457 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 20:35:19.934 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:21.181 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:21.590 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:22.175 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:23.041 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:24.053 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:25.100 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:26.089 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:27.047 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:28.053 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:28.922 | AlertUI | BlankTestFragment alert panel initialized
2026-03-29 20:35:28.923 | AlertVM | handleQueryCallback type=Default
2026-03-29 20:35:28.925 | AlertVM | handleUpdateCallback type=DeviceTimeSynced
2026-03-29 20:35:28.926 | AlertVM | onConnectedStateChanged state=ConnectSuccess
2026-03-29 20:35:28.927 | AlertVM | refreshFromBand dispatching alert queries
2026-03-29 20:35:28.928 | AlertVM | loadState={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":50,"resting_enabled":false,"resting_threshold":150,"workout_enabled":false,"workout_threshold":175},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{},"pressure_mode":{},"sedentary_reminder":{}},"spo2":{"enabled":false,"threshold":75},"support":{"heart_rate":true,"heart_rate_workout":false,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false},"wear_detection_status":{"last_updated_at":-1}}
2026-03-29 20:35:29.031 | ZhQuery | getHeartRateAlertSettings dispatched api=SWHRMonitor deviceType=luna_band
2026-03-29 20:35:29.034 | ZhQuery | getSpo2AlertSettings dispatched
2026-03-29 20:35:29.036 | ZhQuery | getPressureModeSettings dispatched api=SWBRMonitor deviceType=luna_band
2026-03-29 20:35:29.046 | ZhQuery | getSleepReminder dispatched
2026-03-29 20:35:29.053 | AlertVM | refreshFromBand dispatching alert queries
2026-03-29 20:35:29.056 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:29.080 | ZhQuery | getHeartRateAlertSettings dispatched api=SWHRMonitor deviceType=luna_band
2026-03-29 20:35:29.084 | ZhQuery | getSpo2AlertSettings dispatched
2026-03-29 20:35:29.089 | ZhQuery | getPressureModeSettings dispatched api=SWBRMonitor deviceType=luna_band
2026-03-29 20:35:29.092 | ZhQuery | getSleepReminder dispatched
2026-03-29 20:35:29.095 | AlertVM | handleQueryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:29.097 | AlertVM | handleQueryCallback type=Default
2026-03-29 20:35:30.238 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:30.246 | AlertVM | handleQueryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:30.248 | AlertVM | handleQueryCallback type=Default
2026-03-29 20:35:31.374 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:31.380 | AlertVM | handleQueryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:31.382 | AlertVM | handleQueryCallback type=Default
2026-03-29 20:35:31.588 | ZhQuery | onSWHRMonitor={"heightWarningValue":220,"isHeightWarning":false,"isLowWarning":false,"lowWarningValue":45}
2026-03-29 20:35:31.590 | AlertService | queryCallback type=HeartRateAlertSettingsObtained
2026-03-29 20:35:31.592 | AlertService | saveAlertSettings={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":50,"resting_enabled":false,"resting_threshold":150,"workout_enabled":false,"workout_threshold":175},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{"continuous_heart_rate_mode":0,"frequency":0,"mode":0},"pressure_mode":{},"sedentary_reminder":{}},"spo2":{"enabled":false,"threshold":75},"support":{"heart_rate":true,"heart_rate_workout":false,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false},"wear_detection_status":{"last_updated_at":-1}}
2026-03-29 20:35:31.601 | AlertService | queryCallback type=AlertFeatureSupportObtained
2026-03-29 20:35:31.604 | AlertService | saveAlertSettings={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":50,"resting_enabled":false,"resting_threshold":150,"workout_enabled":false,"workout_threshold":175},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{"continuous_heart_rate_mode":0,"frequency":0,"mode":0},"pressure_mode":{},"sedentary_reminder":{}},"spo2":{"enabled":false,"threshold":75},"support":{"heart_rate":true,"heart_rate_workout":false,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false},"wear_detection_status":{"last_updated_at":-1}}
2026-03-29 20:35:31.612 | ZhQuery | getHeartRateAlertSettings api=SWHRMonitor state=SUCCEED
2026-03-29 20:35:31.614 | ZhQuery | getHeartRateAlertSettings api=SWHRMonitor state=SUCCEED
2026-03-29 20:35:31.616 | AlertVM | handleQueryCallback type=HeartRateAlertSettingsObtained
2026-03-29 20:35:31.617 | AlertVM | heartRate query matchesStored=true pending=false phase=null
2026-03-29 20:35:31.619 | AlertVM | heartRate query value={"low_enabled":false,"low_threshold":45,"resting_enabled":false,"resting_threshold":220,"workout_enabled":false,"workout_threshold":175}
2026-03-29 20:35:31.621 | AlertVM | handleQueryCallback type=Default
2026-03-29 20:35:31.622 | AlertVM | handleQueryCallback type=AlertFeatureSupportObtained
2026-03-29 20:35:31.624 | AlertVM | support feature=HEART_RATE supported=true
2026-03-29 20:35:31.625 | AlertVM | handleQueryCallback type=Default
2026-03-29 20:35:32.028 | ZhQuery | onSWSPO2Monitor={"isWarning":true,"warningValue":90}
2026-03-29 20:35:32.030 | AlertService | queryCallback type=Spo2AlertSettingsObtained
2026-03-29 20:35:32.031 | AlertService | saveAlertSettings={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":50,"resting_enabled":false,"resting_threshold":150,"workout_enabled":false,"workout_threshold":175},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{"continuous_heart_rate_mode":0,"frequency":0,"mode":0},"pressure_mode":{},"sedentary_reminder":{}},"spo2":{"enabled":true,"threshold":90},"support":{"heart_rate":true,"heart_rate_workout":false,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false},"wear_detection_status":{"last_updated_at":-1}}
2026-03-29 20:35:32.041 | AlertService | queryCallback type=AlertFeatureSupportObtained
2026-03-29 20:35:32.043 | AlertService | saveAlertSettings={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":50,"resting_enabled":false,"resting_threshold":150,"workout_enabled":false,"workout_threshold":175},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{"continuous_heart_rate_mode":0,"frequency":0,"mode":0},"pressure_mode":{},"sedentary_reminder":{}},"spo2":{"enabled":true,"threshold":90},"support":{"heart_rate":true,"heart_rate_workout":false,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false},"wear_detection_status":{"last_updated_at":-1}}
2026-03-29 20:35:32.048 | ZhQuery | getSpo2AlertSettings state=SUCCEED
2026-03-29 20:35:32.051 | ZhQuery | getSpo2AlertSettings state=SUCCEED
2026-03-29 20:35:32.053 | AlertVM | handleQueryCallback type=Spo2AlertSettingsObtained
2026-03-29 20:35:32.054 | AlertVM | spo2 query matchesStored=true pending=false phase=null
2026-03-29 20:35:32.055 | AlertVM | spo2 query value={"enabled":true,"threshold":90}
2026-03-29 20:35:32.057 | AlertVM | handleQueryCallback type=Default
2026-03-29 20:35:32.058 | AlertVM | handleQueryCallback type=AlertFeatureSupportObtained
2026-03-29 20:35:32.059 | AlertVM | support feature=SPO2 supported=true
2026-03-29 20:35:32.061 | AlertVM | handleQueryCallback type=Default
2026-03-29 20:35:32.423 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:32.428 | AlertVM | handleQueryCallback type=UpdateFirmwareLogStatus
2026-03-29 20:35:32.429 | AlertVM | handleQueryCallback type=Default
2026-03-29 20:35:32.830 | ZhQuery | onSWBRMonitor={"isWarning":false,"warningValue":100}
2026-03-29 20:35:32.831 | AlertService | queryCallback type=PressureModeSettingsObtained
