2026-03-29 15:33:31.269 | AlertService | resetAlertSyncState
2026-03-29 15:33:31.277 | AlertService | syncPendingAlertSettings skipped disconnected
2026-03-29 15:33:31.588 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 15:33:31.593 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 15:33:31.888 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 15:33:31.891 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 15:33:32.199 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 15:33:32.201 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 15:33:33.403 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 15:33:33.406 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 15:33:35.333 | AlertService | updateCallback type=DeviceTimeSynced
2026-03-29 15:33:36.297 | AlertService | updateCallback type=UserInfoUpdated
2026-03-29 15:33:37.301 | AlertService | updateCallback type=DeviceUnitsUpdated
2026-03-29 15:33:40.184 | AlertService | updateCallback type=DeviceTimeSynced
2026-03-29 15:33:40.519 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 15:33:41.690 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 15:33:42.617 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 15:33:42.619 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 15:33:48.483 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 15:33:52.446 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:33:54.558 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:33:55.561 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:33:56.529 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:33:57.494 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:33:58.482 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:33:59.521 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:00.525 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:01.514 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:02.547 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:03.563 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:04.509 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:05.497 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:06.525 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:07.561 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:08.551 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:09.574 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:10.276 | AlertUI | BlankTestFragment alert panel initialized
2026-03-29 15:34:10.289 | AlertVM | handleQueryCallback type=Default
2026-03-29 15:34:10.292 | AlertVM | handleUpdateCallback type=DeviceTimeSynced
2026-03-29 15:34:10.295 | AlertVM | onConnectedStateChanged state=ConnectSuccess
2026-03-29 15:34:10.297 | AlertVM | refreshFromBand dispatching alert queries
2026-03-29 15:34:10.302 | AlertVM | loadState={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":50,"resting_enabled":false,"resting_threshold":150,"workout_enabled":false,"workout_threshold":175},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{},"sedentary_reminder":{}},"spo2":{"enabled":false,"threshold":75},"support":{"heart_rate":true,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false}}
2026-03-29 15:34:10.372 | ZhQuery | getHeartRateAlertSettings dispatched
2026-03-29 15:34:10.373 | ZhQuery | getSpo2AlertSettings dispatched
2026-03-29 15:34:10.388 | ZhQuery | getPressureModeSettings dispatched
2026-03-29 15:34:10.392 | ZhQuery | getSleepReminder dispatched
2026-03-29 15:34:10.401 | AlertVM | refreshFromBand dispatching alert queries
2026-03-29 15:34:10.403 | ZhQuery | getHeartRateAlertSettings dispatched
2026-03-29 15:34:10.408 | ZhQuery | getSpo2AlertSettings dispatched
2026-03-29 15:34:10.411 | ZhQuery | getPressureModeSettings dispatched
2026-03-29 15:34:10.417 | ZhQuery | getSleepReminder dispatched
2026-03-29 15:34:10.427 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 15:34:10.430 | AlertVM | handleQueryCallback type=BatteryDataObtained
2026-03-29 15:34:10.433 | AlertVM | handleQueryCallback type=Default
2026-03-29 15:34:10.718 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:10.727 | AlertVM | handleQueryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:10.730 | AlertVM | handleQueryCallback type=Default
2026-03-29 15:34:11.106 | ZhQuery | onHeartRateMonitorResult={"continuousHeartRateMode":0,"frequency":5,"isSportWarning":false,"isWarning":false,"lowWarningValue":0,"mode":0,"sportWarningValue":0,"warningValue":220}
2026-03-29 15:34:11.107 | AlertService | queryCallback type=HeartRateAlertDataObtained
2026-03-29 15:34:11.108 | AlertService | queryCallback type=HeartRateAlertSettingsObtained
2026-03-29 15:34:11.110 | AlertService | saveAlertSettings={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":0,"resting_enabled":false,"resting_threshold":220,"workout_enabled":false,"workout_threshold":0},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{"continuous_heart_rate_mode":0,"frequency":5,"mode":0},"sedentary_reminder":{}},"spo2":{"enabled":false,"threshold":75},"support":{"heart_rate":true,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false}}
2026-03-29 15:34:11.113 | AlertService | onAlertQueryCompleted feature=HEART_RATE phase=null matchesStored=false
2026-03-29 15:34:11.115 | AlertService | queryCallback type=AlertFeatureSupportObtained
2026-03-29 15:34:11.116 | AlertService | saveAlertSettings={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":0,"resting_enabled":false,"resting_threshold":220,"workout_enabled":false,"workout_threshold":0},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{"continuous_heart_rate_mode":0,"frequency":5,"mode":0},"sedentary_reminder":{}},"spo2":{"enabled":false,"threshold":75},"support":{"heart_rate":true,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false}}
2026-03-29 15:34:11.119 | ZhQuery | getHeartRateAlertSettings state=SUCCEED
2026-03-29 15:34:11.123 | ZhQuery | getHeartRateAlertSettings state=SUCCEED
2026-03-29 15:34:11.125 | AlertVM | handleQueryCallback type=HeartRateAlertDataObtained
2026-03-29 15:34:11.126 | AlertVM | handleQueryCallback type=Default
2026-03-29 15:34:11.127 | AlertVM | handleQueryCallback type=HeartRateAlertSettingsObtained
2026-03-29 15:34:11.128 | AlertVM | heartRate query matchesStored=true
2026-03-29 15:34:11.130 | AlertVM | heartRate query value={"low_enabled":false,"low_threshold":0,"resting_enabled":false,"resting_threshold":220,"workout_enabled":false,"workout_threshold":0}
2026-03-29 15:34:11.131 | AlertVM | handleQueryCallback type=Default
2026-03-29 15:34:11.133 | AlertVM | handleQueryCallback type=AlertFeatureSupportObtained
2026-03-29 15:34:11.134 | AlertVM | support feature=HEART_RATE supported=true
2026-03-29 15:34:11.136 | AlertVM | handleQueryCallback type=Default
2026-03-29 15:34:11.294 | ZhQuery | onSWSPO2Monitor={"isWarning":true,"warningValue":90}
2026-03-29 15:34:11.296 | AlertService | queryCallback type=Spo2AlertSettingsObtained
2026-03-29 15:34:11.297 | AlertService | saveAlertSettings={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":0,"resting_enabled":false,"resting_threshold":220,"workout_enabled":false,"workout_threshold":0},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{"continuous_heart_rate_mode":0,"frequency":5,"mode":0},"sedentary_reminder":{}},"spo2":{"enabled":true,"threshold":90},"support":{"heart_rate":true,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false}}
2026-03-29 15:34:11.302 | AlertService | onAlertQueryCompleted feature=SPO2 phase=null matchesStored=false
2026-03-29 15:34:11.306 | AlertService | queryCallback type=AlertFeatureSupportObtained
2026-03-29 15:34:11.309 | AlertService | saveAlertSettings={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":0,"resting_enabled":false,"resting_threshold":220,"workout_enabled":false,"workout_threshold":0},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{"continuous_heart_rate_mode":0,"frequency":5,"mode":0},"sedentary_reminder":{}},"spo2":{"enabled":true,"threshold":90},"support":{"heart_rate":true,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false}}
2026-03-29 15:34:11.311 | ZhQuery | getSpo2AlertSettings state=SUCCEED
2026-03-29 15:34:11.313 | ZhQuery | getSpo2AlertSettings state=SUCCEED
2026-03-29 15:34:11.314 | AlertVM | handleQueryCallback type=Spo2AlertSettingsObtained
2026-03-29 15:34:11.318 | AlertVM | spo2 query matchesStored=true
2026-03-29 15:34:11.319 | AlertVM | spo2 query value={"enabled":true,"threshold":90}
2026-03-29 15:34:11.321 | AlertVM | handleQueryCallback type=Default
2026-03-29 15:34:11.322 | AlertVM | handleQueryCallback type=AlertFeatureSupportObtained
2026-03-29 15:34:11.324 | AlertVM | support feature=SPO2 supported=true
2026-03-29 15:34:11.325 | AlertVM | handleQueryCallback type=Default
2026-03-29 15:34:11.759 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:11.770 | AlertVM | handleQueryCallback type=UpdateFirmwareLogStatus
2026-03-29 15:34:11.772 | AlertVM | handleQueryCallback type=Default
2026-03-29 15:34:12.010 | ZhQuery | getPressureModeSettings state=NOT_SUPPORT
2026-03-29 15:34:12.012 | AlertService | queryCallback type=AlertFeatureSupportObtained
2026-03-29 15:34:12.014 | AlertService | onAlertFeatureUnsupported feature=RELAXATION_PROMPT
